id,DRAFTID,CombineID,Year,Name,FirstName,LastName,Position,HeightInchesTotal,HeightFeet,HeightInches,Weight(LBS),ArmLength(Inches),HandsSize(Inches),FortyYardDash,TwentyYardDashSplit,TenYardDashSplit,TwentyYardShuttle,ThreeConeDrill,VerticalJump,BroadJump,BenchPressReps,DraftRound,College,PickRound,PickTotal,Wonderlic
9051,20134108,EdmundKugbila20134,2013,Edmund Kugbila,Edmund,Kugbila,OG,76,6,4,317,34.875,10.25,5.31,,1.82,4.65,7.72,22.5,105,23,4,Valdosta State,11,108,
9052,2013120,KyleLong20131,2013,Kyle Long,Kyle,Long,OG,78,6,6,313,33.375,11,4.94,,1.68,4.63,7.83,28,107,,1,Oregon,20,20,
9053,,LamarMady2013,2013,Lamar Mady,Lamar,Mady,OG,74,6,2,317,33.5,9.375,5.48,,1.84,4.82,8.07,23,95,35,,,,,
9054,2013386,HughThornton20133,2013,Hugh Thornton,Hugh,Thornton,OG,75,6,3,320,34.125,10,5.11,,1.71,4.63,7.45,,,27,3,Illinois,24,86,
9055,2013365,LarryWarford20133,2013,Larry Warford,Larry,Warford,OG,75,6,3,332,33.375,9.5,5.58,,1.92,5.1,7.78,22.5,96,28,3,Kentucky,3,65,
9056,2013110,ChanceWarmack20131,2013,Chance Warmack,Chance,Warmack,OG,74,6,2,317,34.75,9.625,5.49,,1.83,,,,110,,1,Alabama,10,10,
9057,20134116,EarlWatford20134,2013,Earl Watford,Earl,Watford,OG,75,6,3,300,34,10,5.06,,,5,7.77,30,107,24,4,James Madison,19,116,
9058,2013372,BrianWinters20133,2013,Brian Winters,Brian,Winters,OG,76,6,4,320,32.75,9.75,,,,,,,,9,3,Kent State,10,72,
9059,2013256,ArthurBrown20132,2013,Arthur Brown,Arthur,Brown,OLB,72,6,,241,32.5,10,4.58,,1.61,4.31,7.07,32.5,116,21,2,Kansas State,24,56,
9060,2013397,ZaviarGooden20133,2013,Zaviar Gooden,Zaviar,Gooden,OLB,73,6,1,234,32.25,10,4.47,,1.53,4.18,6.71,34,131,27,3,Missouri,35,97,
9061,20134117,KhaseemGreene20134,2013,Khaseem Greene,Khaseem,Greene,OLB,73,6,1,241,32.625,9.625,4.71,,1.62,4.2,7.58,30,116,17,4,Rutgers,20,117,
9062,20134120,GeraldHodges20134,2013,Gerald Hodges,Gerald,Hodges,OLB,73,6,1,243,32,9,4.78,,1.67,,,,119,22,4,Penn State,23,120,
9063,20136185,DevonteHolloman20136,2013,Devonte Holloman,Devonte,Holloman,OLB,73,6,1,243,32.5,10,4.76,,1.62,4.26,7.3,33,113,15,6,South Carolina,17,185,
9064,20134104,JelaniJenkins20134,2013,Jelani Jenkins,Jelani,Jenkins,OLB,72,6,,243,32.25,9.375,,,,,,,,27,4,Florida,7,104,
9065,2013499,NicoJohnson20134,2013,Nico Johnson,Nico,Johnson,OLB,74,6,2,248,33.25,9.25,4.75,,,,,,,,4,Alabama,2,99,
9066,2013117,JarvisJones20131,2013,Jarvis Jones,Jarvis,Jones,OLB,74,6,2,242,33,9.125,4.92,,,4.69,7.43,30.5,117,16,1,Georgia,17,17,
9067,,JohnLotulelei2013,2013,John Lotulelei,John,Lotulelei,OLB,71,5,11,233,32.375,10.625,4.84,,1.58,4.3,6.91,35.5,117,25,,,,,
9068,,BrandonMagee2013,2013,Brandon Magee,Brandon,Magee,OLB,71,5,11,223,28.75,9.125,4.74,,1.62,,,,114,,,,,,
9069,20136180,NickMoody20136,2013,Nick Moody,Nick,Moody,OLB,73,6,1,236,31.5,9.625,4.71,,1.59,,,,118,17,6,Florida State,12,180,
9070,2013366,SioMoore20133,2013,Sio Moore,Sio,Moore,OLB,73,6,1,245,33.625,10.25,4.65,,1.62,4.31,7.49,38,127,29,3,Connecticut,4,66,
9071,20134118,SeanPorter20134,2013,Sean Porter,Sean,Porter,OLB,73,6,1,229,32.25,9.25,4.75,,1.63,,,35,119,22,4,Texas A&M,21,118,
9072,,KeithPough2013,2013,Keith Pough,Keith,Pough,OLB,74,6,2,239,33.5,9.625,4.9,,1.64,4.47,7.28,33,118,17,,,,,
9073,,EtienneSabino2013,2013,Etienne Sabino,Etienne,Sabino,OLB,74,6,2,247,33,9.625,4.75,,1.66,,,,114,24,,,,,
9074,,BruceTaylor2013,2013,Bruce Taylor,Bruce,Taylor,OLB,73,6,1,237,33.125,10.375,5.01,,,4.39,7.21,30.5,115,19,,,,,
9075,,ChaseThomas2013,2013,Chase Thomas,Chase,Thomas,OLB,75,6,3,244,32.25,9.625,4.91,,1.64,4.31,7.17,32,113,18,,,,,
9076,20135141,OdayAboushi20135,2013,Oday Aboushi,Oday,Aboushi,OT,77,6,5,308,33.875,10.625,5.45,,1.89,4.84,7.92,23.5,100,17,5,Virginia,8,141,
9077,2013375,TerronArmstead20133,2013,Terron Armstead,Terron,Armstead,OT,77,6,5,306,34,9.25,4.71,,1.64,4.72,7.62,34.5,112,31,3,Arkansas-Pine Bluff,13,75,
9078,20134109,DavidBakhtiari20134,2013,David Bakhtiari,David,Bakhtiari,OT,76,6,4,299,34,9.5,5.09,,1.79,4.74,7.7,25.5,101,28,4,Colorado,12,109,
9079,,NickBecton2013,2013,Nick Becton,Nick,Becton,OT,77,6,5,323,35.5,9,5.2,,1.76,4.57,7.77,29.5,109,19,,,,,
9080,,BradenBrown2013,2013,Braden Brown,Braden,Brown,OT,77,6,5,310,34.25,10.25,5.2,,1.74,4.7,7.43,28,100,26,,,,,
9081,,EmmettCleary2013,2013,Emmett Cleary,Emmett,Cleary,OT,79,6,7,316,34.25,9.75,5.21,,1.77,4.7,7.81,28.5,108,24,,,,,
9082,,JordanDevey2013,2013,Jordan Devey,Jordan,Devey,OT,79,6,7,317,32.75,9.625,5.25,,1.75,4.77,7.91,24,98,21,,,,,
9083,,ChrisFaulk2013,2013,Chris Faulk,Chris,Faulk,OT,77,6,5,331,34.25,9.625,,,,,,,,25,,,,,
9084,201311,EricFisher20131,2013,Eric Fisher,Eric,Fisher,OT,79,6,7,306,34.5,10.5,5.05,,1.7,4.44,7.59,28.5,116,27,1,Central Michigan,1,1,
9085,2013111,D.J.Fluker20131,2013,D.J. Fluker,D.J.,Fluker,OT,77,6,5,339,36.75,10.5,5.31,,1.83,,,,,21,1,Alabama,11,11,
9086,,ManaseFoketi2013,2013,Manase Foketi,Manase,Foketi,OT,77,6,5,318,34.5,10.625,,,,5.06,8.11,23.5,102,25,,,,,
9087,20137240,ReidFragel20137,2013,Reid Fragel,Reid,Fragel,OT,80,6,8,308,33,10.625,5.14,,1.76,4.68,7.62,30,113,33,7,Ohio State,34,240,
9088,,RogersGaines2013,2013,Rogers Gaines,Rogers,Gaines,OT,78,6,6,334,36.25,10.625,5.24,,,5.24,,23,,28,,,,,
9089,20137227,GarrettGilkey20137,2013,Garrett Gilkey,Garrett,Gilkey,OT,78,6,6,318,32.625,10.25,5.33,,1.72,4.75,7.65,30,108,28,7,Chadron State,21,227,
